Id_Secteur,Codeinsseecommune,Communesrelevantdusecteurderecrutement,Detailsecteurscolaire,Commune,college,Adressecollege,BPcollege,Cedexcollege,Codepostalcollege,Codeinseecommunecollege
"SECT_123","22381","TREZENY","","LANNION","Collège ""Yves Coppens""","Rue Yves Coppens","","","22300","22113"
"SECT_124","22113","LANNION","secteur Nord-Ouest délimité par la route de PERROS GUIREC - Avenue de la Résistance - rue de Placenn Ar Guer - rue de St Ugeon - rue de Krec'h Huet - rue de Pors An Prat -rue Le Bourdon - rue de la Trinité - Quai de Viarmes - Quai du Maréchal Joffre - Avenue du général de Gaulle – rue Trorozec et voix ferrée","LANNION","Collège ""Charles Le Goffic""","7 rue de Pen Ar Stang","","","22300","22113"
"SECT_125","22224","PLOULEC'H","","LANNION","Collège ""Charles Le Goffic""","7 rue de Pen Ar Stang","","","22300","22113"
"SECT_126","22068","GRACE-UZEL","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_127","22075","HEMONSTOIR","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_128","22100","LANGAST","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_129","22136","LOUDEAC","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_13","22129","LOC-ENVEL","","BELLE-ISLE-EN-TERRE","Collège "" Prat Eles ""","3 Prat Eles","B.P.1","","22810","22005"
"SECT_130","22155","MOTTE (LA)","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_131","22219","PLOUGUENAST","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_132","22275","SAINT-BARNABE","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_133","22279","SAINT-CARADEC","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_134","22300","SAINT-HERVE","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_135","22314","SAINT-MAUDAN","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_136","22330","SAINT-THELO","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_137","22376","TREVE","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
